Print numeric sequences	seq:Print numeric sequences	
Manipulate shell variables and functions	set:Manipulate shell variables and functions	
Secure File Transfer Program	sftp:Secure File Transfer Program	
Shift positional parameters	shift:Shift positional parameters	
Shell Options	shopt:Shell Options	
Delay for a specified time	sleep:Delay for a specified time	
Find files	slocate:Find files	
Sort text files	sort:Sort text files	
Run commands from a file '.'	source:Run commands from a file '.'	
Split a file into fixed-size pieces	split:Split a file into fixed-size pieces	
Socket Statistics	ss:Socket Statistics	
Secure Shell client (remote login program)	ssh:Secure Shell client (remote login program)	
Display file or file system status	stat:Display file or file system status	
Trace system calls and signals	strace:Trace system calls and signals	
Substitute user identity	su:Substitute user identity	
Execute a command as another user	sudo:Execute a command as another user	
Print a checksum for a file	sum:Print a checksum for a file	
Suspend execution of this shell	suspend:Suspend execution of this shell	
Synchronize data on disk with memory	sync:Synchronize data on disk with memory	
Output the last part of file	tail:Output the last part of file	
Store, list or extract files in an archive	tar:Store, list or extract files in an archive	
Redirect output to multiple files	tee:Redirect output to multiple files	
Evaluate a conditional expression	test:Evaluate a conditional expression	
Measure Program running time	time:Measure Program running time	
Run a command with a time limit	timeout:Run a command with a time limit	
User and system times	times:User and system times	
Change file timestamps	touch:Change file timestamps	
List processes running on the system	top:List processes running on the system	
Set terminal-dependent capabilities, color, position	tput:Set terminal-dependent capabilities, color, position	
Trace Route to Host	traceroute:Trace Route to Host	
Run a command when a signal is set(bourne)	trap:Run a command when a signal is set(bourne)	
Translate, squeeze, and/or delete characters	tr:Translate, squeeze, and/or delete characters	
Do nothing, successfully	true:Do nothing, successfully	
Topological sort	tsort:Topological sort	
Print filename of terminal on stdin	tty:Print filename of terminal on stdin	
Describe a command	type:Describe a command	
Limit user resources	ulimit:Limit user resources	
Users file creation mask	umask:Users file creation mask	
Unmount a device	umount:Unmount a device	
Remove an alias	unalias:Remove an alias	
Print system information	uname:Print system information	
Convert spaces to tabs	unexpand:Convert spaces to tabs	
Uniquify files	uniq:Uniquify files	
Convert units from one scale to another	units:Convert units from one scale to another	
Extract files from a rar archive	unrar:Extract files from a rar archive	
Remove variable or function names	unset:Remove variable or function names	
Unpack shell archive scripts	unshar:Unpack shell archive scripts	
Execute commands (until error)	until:Execute commands (until error)	
Show uptime	uptime:Show uptime	
Create new user account	useradd:Create new user account	
Delete a user account	userdel:Delete a user account	
Modify user account	usermod:Modify user account	
List users currently logged in	users:List users currently logged in	
Encode a binary file	uuencode:Encode a binary file	
Decode a file created by uuencode	uudecode:Decode a file created by uuencode	
Verbosely list directory contents (`ls -l -b')	v:Verbosely list directory contents (`ls -l -b')	
Verbosely list directory contents (`ls -l -b')	vdir:Verbosely list directory contents (`ls -l -b')	
Report virtual memory statistics	vmstat:Report virtual memory statistics	
Wait for a process to complete	wait:Wait for a process to complete	
Execute/display a program periodically	watch:Execute/display a program periodically	
Print byte, word, and line counts	wc:Print byte, word, and line counts	
Search the user's $path, man pages and source files for a program	whereis:Search the user's $path, man pages and source files for a program	
Search the user's $path for a program file	which:Search the user's $path for a program file	
Print all usernames currently logged in	who:Print all usernames currently logged in	
Print the current user id and name (`id -un')	whoami:Print the current user id and name (`id -un')	
Retrieve web pages or files via HTTP, HTTPS or FTP	wget:Retrieve web pages or files via HTTP, HTTPS or FTP	
Send a message to another user	write:Send a message to another user	
Execute utility, passing constructed argument list(s)	xargs:Execute utility, passing constructed argument list(s)	
Open a file or URL in the user's preferred application.	xdg-open:Open a file or URL in the user's preferred application.	
Compress or decompress .xz and .lzma files	xz:Compress or decompress .xz and .lzma files	
Print a string until interrupted	yes:Print a string until interrupted	
Package and compress (archive) files.	zip:Package and compress (archive) files.	
Run a command script in the current shell	.:Run a command script in the current shell	
Run the last command again	!!:Run the last command again	
